,vessel,begin_date,end_date,begin_port_id,end_port_id,delta
2457,144.0,2019-01-23 21:46:00,2019-01-29 10:51:00,173.0,92.0,5.0
2458,144.0,2019-01-30 01:54:00,2019-02-03 12:15:00,92.0,173.0,4.0
2459,144.0,2019-02-03 12:15:00,2019-02-08 04:59:00,173.0,92.0,4.0
2460,144.0,2019-02-19 04:58:00,2019-02-22 06:51:00,92.0,173.0,3.0
2461,144.0,2019-02-22 06:51:00,2019-02-26 10:50:00,173.0,92.0,4.0
2462,144.0,2019-02-27 01:15:00,2019-03-02 09:17:00,92.0,173.0,3.0
2463,144.0,2019-03-05 02:02:00,2019-03-09 10:59:00,173.0,92.0,4.0
2464,144.0,2019-03-17 17:38:00,2019-03-22 01:42:00,92.0,173.0,4.0
2466,144.0,2019-06-25 13:46:00,2019-06-28 23:48:00,92.0,173.0,3.0
2468,144.0,2019-07-14 16:30:00,2019-07-18 23:38:00,92.0,173.0,4.0
2469,144.0,2019-07-29 23:51:00,2019-08-03 08:20:00,173.0,92.0,4.0
2470,144.0,2019-08-05 17:47:00,2019-08-08 23:42:00,92.0,173.0,3.0
2471,144.0,2019-08-10 20:54:00,2019-08-14 02:38:00,173.0,92.0,3.0
2472,144.0,2019-08-14 19:14:00,2019-08-17 23:50:00,92.0,173.0,3.0
2473,144.0,2019-08-20 02:41:00,2019-08-23 13:27:00,173.0,92.0,3.0
2474,144.0,2019-08-24 08:51:00,2019-08-27 23:55:00,92.0,173.0,3.0
2476,144.0,2019-09-20 17:55:00,2019-09-24 01:30:00,92.0,173.0,3.0
2477,144.0,2019-09-24 23:54:00,2019-09-28 07:31:00,173.0,92.0,3.0
2478,144.0,2019-09-29 02:40:00,2019-10-01 23:46:00,92.0,173.0,2.0
2479,144.0,2019-10-04 16:29:00,2019-10-07 23:52:00,173.0,92.0,3.0
2480,144.0,2019-10-08 17:49:00,2019-10-11 23:44:00,92.0,173.0,3.0
2481,144.0,2019-10-14 18:58:00,2019-10-18 22:40:00,173.0,92.0,4.0
2482,144.0,2019-10-19 02:55:00,2019-10-22 02:47:00,92.0,173.0,2.0
2483,144.0,2019-10-23 20:44:00,2019-10-27 00:19:00,173.0,92.0,3.0
2484,144.0,2019-10-27 07:58:00,2019-10-30 23:49:00,92.0,173.0,3.0
2486,144.0,2019-12-15 03:52:00,2019-12-18 21:35:00,92.0,173.0,3.0
2491,145.0,2019-04-30 07:00:00,2019-05-06 20:29:00,69.0,29.0,6.0
2492,145.0,2019-05-07 20:50:00,2019-05-13 22:24:00,29.0,69.0,6.0
2502,146.0,2019-04-13 19:18:00,2019-04-19 22:16:00,90.0,22.0,6.0
2503,146.0,2019-04-20 16:25:00,2019-04-27 05:55:00,22.0,90.0,6.0
2504,146.0,2019-04-30 02:50:00,2019-05-02 18:44:00,90.0,121.0,2.0
2505,146.0,2019-05-03 17:53:00,2019-05-06 23:50:00,121.0,90.0,3.0
2506,146.0,2019-05-07 17:44:00,2019-05-13 23:51:00,90.0,139.0,6.0
2507,146.0,2019-05-14 20:51:00,2019-05-20 20:50:00,139.0,90.0,5.0
2513,146.0,2019-07-15 16:27:00,2019-07-20 11:39:00,7.0,90.0,4.0
2514,146.0,2019-07-25 14:39:00,2019-07-31 23:44:00,90.0,65.0,6.0
2516,146.0,2019-08-12 23:43:00,2019-08-19 01:30:00,90.0,65.0,6.0
2517,146.0,2019-08-19 18:57:00,2019-08-25 23:49:00,65.0,90.0,6.0
2520,146.0,2019-10-01 08:42:00,2019-10-07 21:23:00,90.0,34.0,6.0
2521,146.0,2019-10-08 17:44:00,2019-10-15 06:02:00,34.0,90.0,6.0
2522,146.0,2019-10-17 14:55:00,2019-10-21 14:36:00,90.0,7.0,3.0
2523,146.0,2019-10-21 17:30:00,2019-10-28 16:06:00,7.0,69.0,6.0
2526,146.0,2019-11-23 06:47:00,2019-11-25 00:48:00,115.0,90.0,1.0
2529,146.0,2019-12-11 18:54:00,2019-12-17 21:55:00,90.0,108.0,6.0
2530,146.0,2019-12-18 18:58:00,2019-12-24 21:54:00,108.0,90.0,6.0
2531,146.0,2019-12-25 18:48:00,2019-12-30 22:24:00,90.0,34.0,5.0
2540,147.0,2019-05-15 23:43:00,2019-05-22 20:44:00,72.0,90.0,6.0
2541,147.0,2019-05-24 11:47:00,2019-05-29 02:49:00,90.0,29.0,4.0
2542,147.0,2019-05-30 02:51:00,2019-06-03 23:40:00,29.0,90.0,4.0
2543,147.0,2019-06-07 05:56:00,2019-06-14 05:53:00,90.0,7.0,6.0
2546,147.0,2019-07-14 18:11:00,2019-07-20 17:41:00,90.0,121.0,5.0
2547,147.0,2019-07-21 13:30:00,2019-07-25 05:43:00,121.0,90.0,3.0
2548,147.0,2019-07-29 05:41:00,2019-08-02 01:31:00,90.0,54.0,3.0
2550,147.0,2019-08-15 16:26:00,2019-08-20 17:04:00,148.0,90.0,5.0
2551,147.0,2019-08-31 07:45:00,2019-09-05 19:55:00,90.0,7.0,5.0
2552,147.0,2019-09-06 17:13:00,2019-09-11 05:53:00,7.0,90.0,4.0
2553,147.0,2019-09-12 14:54:00,2019-09-18 23:43:00,90.0,22.0,6.0
2556,147.0,2019-10-08 19:22:00,2019-10-14 11:50:00,108.0,90.0,5.0
2558,147.0,2019-12-11 18:56:00,2019-12-17 21:53:00,51.0,90.0,6.0
2559,147.0,2019-12-18 18:47:00,2019-12-24 21:57:00,90.0,139.0,6.0
2566,148.0,2019-04-20 15:57:00,2019-04-23 22:23:00,21.0,54.0,3.0
2567,148.0,2019-04-24 22:20:00,2019-04-27 00:45:00,54.0,21.0,2.0
2569,148.0,2019-05-09 18:57:00,2019-05-16 05:01:00,111.0,21.0,6.0
2571,148.0,2019-05-29 17:34:00,2019-06-04 23:23:00,38.0,21.0,6.0
2573,148.0,2019-06-14 20:44:00,2019-06-20 11:39:00,51.0,21.0,5.0
2576,148.0,2019-07-16 04:29:00,2019-07-20 08:37:00,168.0,21.0,4.0
2577,148.0,2019-08-03 14:46:00,2019-08-07 23:06:00,21.0,154.0,4.0
2578,148.0,2019-08-08 16:40:00,2019-08-12 22:15:00,154.0,21.0,4.0
2579,148.0,2019-08-24 19:28:00,2019-08-28 20:30:00,21.0,7.0,4.0
2580,148.0,2019-08-29 16:30:00,2019-09-01 10:26:00,7.0,21.0,2.0
2585,148.0,2019-10-21 20:56:00,2019-10-27 20:06:00,65.0,21.0,5.0
2586,148.0,2019-10-29 20:21:00,2019-11-05 04:56:00,21.0,72.0,6.0
2587,148.0,2019-11-05 21:25:00,2019-11-12 02:54:00,72.0,21.0,6.0
2588,148.0,2019-11-14 09:38:00,2019-11-20 21:45:00,21.0,65.0,6.0
2594,149.0,2019-03-30 01:54:00,2019-04-02 07:20:00,101.0,35.0,3.0
2615,150.0,2019-06-05 20:40:00,2019-06-12 02:51:00,34.0,115.0,6.0
2643,152.0,2019-06-08 04:30:00,2019-06-14 10:30:00,101.0,35.0,6.0
2666,154.0,2019-05-05 18:57:00,2019-05-12 07:54:00,58.0,21.0,6.0
2674,154.0,2019-08-28 20:52:00,2019-09-02 23:50:00,54.0,115.0,5.0
2675,154.0,2019-09-24 17:49:00,2019-10-01 08:43:00,115.0,21.0,6.0
2683,155.0,2019-04-01 15:48:00,2019-04-05 07:24:00,121.0,90.0,3.0
2684,155.0,2019-04-19 19:12:00,2019-04-25 10:11:00,90.0,34.0,5.0
2690,155.0,2019-07-27 14:56:00,2019-08-02 20:52:00,90.0,34.0,6.0
2692,155.0,2019-08-11 10:28:00,2019-08-12 07:29:00,54.0,115.0,0.0
2693,155.0,2019-09-17 17:49:00,2019-09-22 08:47:00,115.0,90.0,4.0
2694,155.0,2019-10-05 17:43:00,2019-10-09 08:50:00,90.0,121.0,3.0
2695,155.0,2019-10-09 14:38:00,2019-10-12 17:51:00,121.0,90.0,3.0
2698,155.0,2019-11-15 18:59:00,2019-11-21 21:49:00,51.0,90.0,6.0
2699,155.0,2019-11-22 15:41:00,2019-11-29 00:43:00,90.0,34.0,6.0
2707,156.0,2019-04-26 01:58:00,2019-05-02 23:44:00,21.0,65.0,6.0
2709,156.0,2019-05-16 18:53:00,2019-05-20 20:50:00,21.0,7.0,4.0
2710,156.0,2019-05-21 17:23:00,2019-05-26 11:52:00,7.0,21.0,4.0
2711,156.0,2019-05-27 19:15:00,2019-06-03 02:55:00,21.0,65.0,6.0
2713,156.0,2019-06-15 06:20:00,2019-06-19 20:42:00,21.0,168.0,4.0
2714,156.0,2019-06-21 02:55:00,2019-06-21 23:51:00,168.0,115.0,0.0
2716,156.0,2019-08-14 19:21:00,2019-08-18 08:43:00,21.0,115.0,3.0
2717,156.0,2019-08-18 17:44:00,2019-08-19 16:29:00,115.0,168.0,0.0
2718,156.0,2019-08-22 04:28:00,2019-08-25 08:40:00,168.0,21.0,3.0
2720,156.0,2019-09-03 23:55:00,2019-09-10 14:47:00,65.0,21.0,6.0
2721,156.0,2019-09-11 20:02:00,2019-09-17 20:53:00,21.0,7.0,6.0
2724,156.0,2019-10-10 18:58:00,2019-10-15 08:48:00,154.0,21.0,4.0
2725,156.0,2019-10-16 19:27:00,2019-10-22 23:44:00,21.0,111.0,6.0
2729,156.0,2019-11-17 14:44:00,2019-11-22 21:50:00,21.0,7.0,5.0
2736,157.0,2019-03-28 00:59:00,2019-04-03 01:15:00,150.0,90.0,6.0
2739,157.0,2019-05-02 17:54:00,2019-05-08 06:41:00,29.0,90.0,5.0
2740,157.0,2019-05-16 02:48:00,2019-05-22 18:51:00,90.0,150.0,6.0
2741,157.0,2019-05-24 02:43:00,2019-05-30 08:42:00,150.0,90.0,6.0
2742,157.0,2019-05-31 02:42:00,2019-06-01 20:45:00,90.0,54.0,1.0
2743,157.0,2019-06-02 17:39:00,2019-06-04 23:43:00,54.0,90.0,2.0
2748,157.0,2019-07-22 10:30:00,2019-07-27 23:48:00,7.0,90.0,5.0
2749,157.0,2019-07-28 17:54:00,2019-08-01 01:30:00,90.0,7.0,3.0
2750,157.0,2019-08-01 18:57:00,2019-08-06 02:53:00,7.0,90.0,4.0
2752,157.0,2019-08-18 18:57:00,2019-08-24 23:50:00,150.0,90.0,6.0
2755,157.0,2019-10-06 23:50:00,2019-10-13 20:52:00,90.0,123.0,6.0
2757,157.0,2019-10-26 02:54:00,2019-11-01 20:46:00,90.0,150.0,6.0
2760,157.0,2019-12-12 21:43:00,2019-12-18 19:23:00,90.0,34.0,5.0
2762,158.0,2019-01-24 07:59:00,2019-01-25 04:56:00,152.0,22.0,0.0
2767,158.0,2019-04-04 10:12:00,2019-04-04 23:59:00,54.0,115.0,0.0
2768,158.0,2019-05-14 20:52:00,2019-05-17 08:20:00,115.0,90.0,2.0
2771,158.0,2019-06-14 23:47:00,2019-06-19 23:47:00,90.0,34.0,5.0
2775,158.0,2019-08-22 20:39:00,2019-08-26 20:14:00,90.0,7.0,3.0
2776,158.0,2019-08-27 18:17:00,2019-09-02 08:38:00,7.0,115.0,5.0
2777,158.0,2019-09-02 16:29:00,2019-09-05 02:43:00,115.0,90.0,2.0
2779,158.0,2019-09-19 17:52:00,2019-09-25 23:43:00,111.0,90.0,6.0
2781,158.0,2019-10-18 17:43:00,2019-10-24 20:42:00,152.0,90.0,6.0
2782,158.0,2019-11-21 21:45:00,2019-11-27 21:43:00,90.0,162.0,5.0
2784,158.0,2019-12-08 03:56:00,2019-12-14 00:48:00,90.0,22.0,5.0
2785,158.0,2019-12-14 18:54:00,2019-12-21 09:00:00,22.0,90.0,6.0
2790,159.0,2019-03-08 22:50:00,2019-03-09 03:09:00,54.0,115.0,0.0
2791,159.0,2019-04-17 19:22:00,2019-04-18 04:59:00,115.0,54.0,0.0
2792,159.0,2019-04-20 10:18:00,2019-04-21 04:30:00,54.0,115.0,0.0
2793,159.0,2019-04-21 10:12:00,2019-04-24 01:12:00,115.0,90.0,2.0
2794,159.0,2019-04-29 02:44:00,2019-05-05 01:27:00,90.0,152.0,5.0
2806,159.0,2019-09-02 23:56:00,2019-09-09 05:47:00,65.0,90.0,6.0
2807,159.0,2019-09-09 20:53:00,2019-09-16 05:16:00,90.0,51.0,6.0
2809,159.0,2019-09-24 17:48:00,2019-09-27 14:48:00,90.0,121.0,2.0
2810,159.0,2019-09-28 10:21:00,2019-10-01 20:42:00,121.0,90.0,3.0
2811,159.0,2019-10-02 15:39:00,2019-10-08 23:53:00,90.0,22.0,6.0
2813,159.0,2019-10-17 17:46:00,2019-10-23 23:45:00,90.0,65.0,6.0
2816,159.0,2019-11-16 18:57:00,2019-11-23 00:55:00,48.0,90.0,6.0
2817,159.0,2019-11-23 18:58:00,2019-11-26 21:45:00,90.0,121.0,3.0
2818,159.0,2019-11-27 18:57:00,2019-12-01 00:51:00,121.0,90.0,3.0
2820,159.0,2019-12-10 00:55:00,2019-12-16 06:49:00,11.0,90.0,6.0
2821,159.0,2019-12-17 03:43:00,2019-12-22 21:51:00,90.0,152.0,5.0
2822,159.0,2019-12-23 18:59:00,2019-12-29 21:45:00,152.0,90.0,6.0
2824,160.0,2019-10-04 13:29:00,2019-10-04 21:58:00,54.0,115.0,0.0
2846,162.0,2019-03-09 01:56:00,2019-03-15 03:15:00,48.0,90.0,6.0
2848,162.0,2019-04-15 15:16:00,2019-04-21 22:16:00,11.0,90.0,6.0
2859,162.0,2019-08-21 02:40:00,2019-08-25 19:57:00,90.0,7.0,4.0
2861,162.0,2019-10-09 01:24:00,2019-10-13 23:52:00,76.0,54.0,4.0
2862,162.0,2019-10-24 20:40:00,2019-10-26 11:52:00,54.0,90.0,1.0
2863,162.0,2019-10-31 20:46:00,2019-11-07 02:29:00,90.0,152.0,6.0
2864,162.0,2019-11-07 21:53:00,2019-11-13 22:38:00,152.0,90.0,6.0
2865,162.0,2019-11-14 15:47:00,2019-11-20 21:50:00,90.0,22.0,6.0
2866,162.0,2019-11-21 18:59:00,2019-11-28 03:51:00,22.0,90.0,6.0
2868,162.0,2019-12-08 18:58:00,2019-12-15 09:55:00,51.0,90.0,6.0
2869,162.0,2019-12-18 03:58:00,2019-12-21 20:05:00,90.0,7.0,3.0
2874,163.0,2019-03-26 21:55:00,2019-04-01 22:23:00,22.0,90.0,6.0
2875,163.0,2019-04-02 16:17:00,2019-04-09 04:16:00,90.0,58.0,6.0
2877,163.0,2019-04-17 22:27:00,2019-04-23 22:24:00,90.0,139.0,5.0
2881,163.0,2019-06-11 19:46:00,2019-06-15 19:48:00,90.0,7.0,4.0
2882,163.0,2019-06-16 16:28:00,2019-06-20 02:52:00,7.0,90.0,3.0
2885,163.0,2019-08-01 20:52:00,2019-08-04 18:50:00,90.0,121.0,2.0
2886,163.0,2019-08-05 14:59:00,2019-08-09 01:49:00,121.0,90.0,3.0
2890,163.0,2019-10-24 05:54:00,2019-10-29 23:04:00,90.0,123.0,5.0
2892,163.0,2019-11-15 18:59:00,2019-11-18 21:46:00,121.0,90.0,3.0
2893,163.0,2019-11-20 18:44:00,2019-11-27 02:26:00,90.0,38.0,6.0
2894,163.0,2019-11-27 21:44:00,2019-12-04 15:54:00,38.0,90.0,6.0
2896,164.0,2019-01-11 10:26:00,2019-01-18 04:58:00,90.0,139.0,6.0
2901,164.0,2019-04-11 22:20:00,2019-04-17 22:11:00,90.0,48.0,5.0
2903,164.0,2019-05-26 17:42:00,2019-05-31 02:41:00,90.0,75.0,4.0
2904,164.0,2019-05-31 14:44:00,2019-06-04 20:47:00,75.0,90.0,4.0
2906,164.0,2019-07-22 16:31:00,2019-07-29 05:43:00,152.0,90.0,6.0
2907,164.0,2019-08-09 14:45:00,2019-08-14 08:10:00,90.0,7.0,4.0
2908,164.0,2019-08-14 08:10:00,2019-08-21 02:43:00,7.0,90.0,6.0
2912,164.0,2019-09-24 23:57:00,2019-09-30 20:57:00,139.0,90.0,5.0
2914,164.0,2019-10-09 18:57:00,2019-10-15 23:52:00,38.0,90.0,6.0
2915,164.0,2019-10-19 02:40:00,2019-10-25 20:53:00,90.0,143.0,6.0
2918,164.0,2019-11-19 18:57:00,2019-11-26 03:53:00,51.0,90.0,6.0
2920,164.0,2019-12-04 18:44:00,2019-12-10 21:44:00,111.0,90.0,6.0
2935,166.0,2019-09-11 13:29:00,2019-09-17 11:53:00,160.0,83.0,5.0
2936,166.0,2019-09-18 11:42:00,2019-09-22 04:26:00,83.0,138.0,3.0
2942,167.0,2019-02-15 01:57:00,2019-02-16 16:58:00,38.0,72.0,1.0
2962,170.0,2019-04-25 13:17:00,2019-04-30 23:45:00,169.0,111.0,5.0
2963,170.0,2019-05-01 18:51:00,2019-05-06 06:25:00,111.0,169.0,4.0
2964,170.0,2019-05-12 18:04:00,2019-05-19 04:31:00,169.0,38.0,6.0
2965,170.0,2019-05-19 22:31:00,2019-05-25 23:31:00,38.0,169.0,6.0
2966,170.0,2019-06-21 19:50:00,2019-06-25 23:47:00,169.0,51.0,4.0
2967,170.0,2019-06-26 20:44:00,2019-06-30 12:04:00,51.0,169.0,3.0
2970,170.0,2019-07-27 04:33:00,2019-08-01 01:29:00,169.0,18.0,4.0
2971,170.0,2019-08-01 23:53:00,2019-08-07 07:56:00,18.0,169.0,5.0
2972,170.0,2019-08-16 02:30:00,2019-08-19 20:50:00,169.0,48.0,3.0
2977,170.0,2019-11-21 18:59:00,2019-11-26 19:18:00,48.0,169.0,5.0
2978,170.0,2019-12-01 00:09:00,2019-12-06 19:44:00,169.0,40.0,5.0
2979,170.0,2019-12-07 17:25:00,2019-12-13 18:22:00,40.0,169.0,6.0
2980,171.0,2019-01-03 21:21:00,2019-01-10 01:35:00,169.0,38.0,6.0
2984,171.0,2019-02-23 04:07:00,2019-03-01 04:12:00,51.0,169.0,6.0
2987,171.0,2019-04-01 06:56:00,2019-04-06 21:56:00,169.0,152.0,5.0
2989,171.0,2019-05-04 18:51:00,2019-05-08 20:50:00,169.0,22.0,4.0
2990,171.0,2019-05-08 20:50:00,2019-05-14 18:13:00,22.0,169.0,5.0
2991,171.0,2019-05-22 17:56:00,2019-05-28 20:42:00,169.0,130.0,6.0
2992,171.0,2019-05-28 20:42:00,2019-06-04 05:25:00,130.0,169.0,6.0
2993,171.0,2019-06-29 06:57:00,2019-07-05 22:30:00,169.0,149.0,6.0
2995,171.0,2019-07-25 17:06:00,2019-07-28 03:35:00,169.0,40.0,2.0
2996,171.0,2019-07-28 03:35:00,2019-08-02 04:07:00,40.0,169.0,5.0
2998,171.0,2019-08-12 16:30:00,2019-08-19 08:36:00,7.0,169.0,6.0
2999,171.0,2019-08-20 16:01:00,2019-08-26 22:32:00,169.0,108.0,6.0
3000,171.0,2019-08-27 20:35:00,2019-09-01 02:42:00,108.0,169.0,4.0
3001,171.0,2019-09-03 03:25:00,2019-09-06 17:51:00,169.0,141.0,3.0
3002,171.0,2019-09-07 16:32:00,2019-09-11 03:27:00,141.0,169.0,3.0
3005,171.0,2019-10-13 02:31:00,2019-10-15 21:14:00,169.0,48.0,2.0
3006,171.0,2019-10-16 20:49:00,2019-10-19 04:55:00,48.0,169.0,2.0
3008,171.0,2019-11-14 00:35:00,2019-11-20 13:04:00,38.0,169.0,6.0
3010,172.0,2019-01-02 01:41:00,2019-01-08 10:53:00,169.0,51.0,6.0
3014,172.0,2019-02-24 22:59:00,2019-02-28 19:11:00,48.0,169.0,3.0
3015,172.0,2019-03-12 18:11:00,2019-03-19 03:57:00,169.0,48.0,6.0
3016,172.0,2019-03-19 21:57:00,2019-03-22 17:01:00,48.0,169.0,2.0
3019,172.0,2019-04-11 16:31:00,2019-04-14 10:50:00,48.0,169.0,2.0
3020,172.0,2019-04-16 18:20:00,2019-04-22 07:12:00,169.0,40.0,5.0
3021,172.0,2019-04-22 13:12:00,2019-04-25 05:32:00,40.0,169.0,2.0
3022,172.0,2019-05-13 16:46:00,2019-05-17 23:49:00,169.0,65.0,4.0
3023,172.0,2019-05-18 20:43:00,2019-05-23 01:54:00,65.0,169.0,4.0
3024,172.0,2019-05-25 23:18:00,2019-05-30 23:52:00,169.0,51.0,5.0
3025,172.0,2019-05-31 17:49:00,2019-06-04 19:41:00,51.0,169.0,4.0
3026,172.0,2019-06-06 17:56:00,2019-06-13 04:29:00,169.0,48.0,6.0
3027,172.0,2019-06-13 17:53:00,2019-06-19 20:03:00,48.0,169.0,6.0
3028,172.0,2019-06-23 00:57:00,2019-06-25 01:25:00,169.0,39.0,2.0
3029,172.0,2019-06-26 01:26:00,2019-06-29 05:25:00,39.0,169.0,3.0
3030,172.0,2019-07-02 09:04:00,2019-07-09 01:29:00,169.0,51.0,6.0
3031,172.0,2019-07-09 16:32:00,2019-07-15 05:17:00,51.0,169.0,5.0
3032,172.0,2019-07-15 05:17:00,2019-07-19 01:19:00,169.0,40.0,3.0
3034,172.0,2019-07-30 18:58:00,2019-08-03 19:14:00,51.0,169.0,4.0
3035,172.0,2019-08-05 17:08:00,2019-08-11 04:32:00,169.0,51.0,5.0
3037,172.0,2019-08-22 16:29:00,2019-08-26 13:40:00,48.0,169.0,3.0
3039,172.0,2019-09-04 18:59:00,2019-09-09 07:09:00,65.0,169.0,4.0
3040,172.0,2019-09-10 04:48:00,2019-09-14 17:47:00,169.0,30.0,4.0
3041,172.0,2019-09-15 17:50:00,2019-09-21 03:42:00,30.0,169.0,5.0
3042,172.0,2019-09-21 11:24:00,2019-09-26 01:31:00,169.0,40.0,4.0
3046,172.0,2019-10-29 04:54:00,2019-11-04 05:29:00,169.0,51.0,6.0
3049,172.0,2019-11-28 18:57:00,2019-12-04 08:09:00,51.0,169.0,5.0
3050,172.0,2019-12-05 02:30:00,2019-12-08 21:47:00,169.0,51.0,3.0
3051,172.0,2019-12-09 17:29:00,2019-12-13 19:04:00,51.0,169.0,4.0
3052,172.0,2019-12-14 08:16:00,2019-12-18 21:51:00,169.0,30.0,4.0
3053,172.0,2019-12-19 18:57:00,2019-12-25 02:23:00,30.0,169.0,5.0
3055,174.0,2019-05-29 17:48:00,2019-05-30 20:48:00,34.0,72.0,1.0
3060,175.0,2019-03-17 00:58:00,2019-03-21 09:44:00,64.0,102.0,4.0
3064,175.0,2019-04-26 20:44:00,2019-05-03 13:30:00,64.0,102.0,6.0
3066,175.0,2019-05-18 13:29:00,2019-05-25 02:36:00,64.0,102.0,6.0
3069,175.0,2019-06-26 11:42:00,2019-07-03 07:29:00,102.0,64.0,6.0
3072,175.0,2019-08-10 17:50:00,2019-08-16 14:39:00,64.0,102.0,5.0
3073,175.0,2019-08-17 20:46:00,2019-08-24 11:54:00,102.0,64.0,6.0
3078,175.0,2019-10-30 11:47:00,2019-11-06 11:30:00,64.0,102.0,6.0
3083,176.0,2019-02-11 07:58:00,2019-02-16 07:45:00,64.0,16.0,4.0
3084,176.0,2019-02-18 13:51:00,2019-02-25 01:58:00,16.0,64.0,6.0
3085,176.0,2019-03-21 12:57:00,2019-03-27 09:58:00,64.0,117.0,5.0
3086,176.0,2019-03-30 20:50:00,2019-04-05 19:12:00,117.0,64.0,5.0
3088,176.0,2019-04-18 10:26:00,2019-04-25 07:23:00,117.0,64.0,6.0
3089,176.0,2019-05-01 13:31:00,2019-05-06 08:47:00,64.0,117.0,4.0
3090,176.0,2019-05-07 08:58:00,2019-05-12 16:28:00,117.0,64.0,5.0
3093,176.0,2019-06-20 05:42:00,2019-06-26 02:35:00,64.0,20.0,5.0
3094,176.0,2019-06-26 18:59:00,2019-07-02 10:31:00,20.0,64.0,5.0
3095,176.0,2019-07-03 04:28:00,2019-07-09 03:42:00,64.0,20.0,5.0
3097,176.0,2019-07-28 14:51:00,2019-08-01 08:49:00,64.0,136.0,3.0
3098,176.0,2019-08-02 04:28:00,2019-08-08 11:41:00,136.0,64.0,6.0
3099,176.0,2019-08-15 04:28:00,2019-08-20 17:47:00,64.0,117.0,5.0
3100,176.0,2019-08-21 07:30:00,2019-08-27 11:27:00,117.0,64.0,6.0
3101,176.0,2019-09-17 20:53:00,2019-09-22 18:57:00,64.0,117.0,4.0
3102,176.0,2019-09-28 04:32:00,2019-10-03 02:57:00,117.0,64.0,4.0
3107,176.0,2019-12-03 15:55:00,2019-12-09 18:57:00,136.0,64.0,6.0
